"","diffMeth.per.chr.chr","diffMeth.per.chr.number.of.hypermethylated","diffMeth.per.chr.percentage.of.hypermethylated","diffMeth.per.chr.number.of.hypomethylated","diffMeth.per.chr.percentage.of.hypomethylated","diffMeth.all.number.of.hypermethylated","diffMeth.all.percentage.of.hypermethylated","diffMeth.all.number.of.hypomethylated","diffMeth.all.percentage.of.hypomethylated"
"1","NC_009709.1",11,2.03703703703704,0,0,398,2.58844953173777,414,2.69250780437045
"2","NC_047151.1",18,2.20858895705521,32,3.92638036809816,398,2.58844953173777,414,2.69250780437045
"3","NC_047152.1",8,2.20994475138122,10,2.76243093922652,398,2.58844953173777,414,2.69250780437045
"4","NC_047153.1",10,2.45098039215686,5,1.22549019607843,398,2.58844953173777,414,2.69250780437045
"5","NC_047154.1",0,0,9,6.25,398,2.58844953173777,414,2.69250780437045
"6","NC_047155.1",9,2.13270142180095,11,2.60663507109005,398,2.58844953173777,414,2.69250780437045
"7","NC_047156.1",7,4.54545454545455,5,3.24675324675325,398,2.58844953173777,414,2.69250780437045
"8","NC_047157.1",7,2.2508038585209,10,3.21543408360129,398,2.58844953173777,414,2.69250780437045
"9","NC_047158.1",31,3.27349524815206,29,3.0623020063358,398,2.58844953173777,414,2.69250780437045
"10","NC_047159.1",11,2.98913043478261,3,0.815217391304348,398,2.58844953173777,414,2.69250780437045
"11","NC_047160.1",11,5.21327014218009,11,5.21327014218009,398,2.58844953173777,414,2.69250780437045
"12","NC_047161.1",11,3.48101265822785,5,1.58227848101266,398,2.58844953173777,414,2.69250780437045
"13","NC_047162.1",4,1.23456790123457,8,2.46913580246914,398,2.58844953173777,414,2.69250780437045
"14","NC_047163.1",25,1.57728706624606,38,2.39747634069401,398,2.58844953173777,414,2.69250780437045
"15","NC_047164.1",17,5.66666666666667,5,1.66666666666667,398,2.58844953173777,414,2.69250780437045
"16","NC_047165.1",46,4.36432637571157,15,1.42314990512334,398,2.58844953173777,414,2.69250780437045
"17","NC_047166.1",6,1.65289256198347,11,3.03030303030303,398,2.58844953173777,414,2.69250780437045
"18","NC_047167.1",6,0.72202166064982,25,3.00842358604091,398,2.58844953173777,414,2.69250780437045
"19","NC_047168.1",3,1.3215859030837,14,6.16740088105727,398,2.58844953173777,414,2.69250780437045
"20","NC_047169.1",1,0.212314225053079,42,8.9171974522293,398,2.58844953173777,414,2.69250780437045
"21","NC_047170.1",0,0,4,7.27272727272727,398,2.58844953173777,414,2.69250780437045
"22","NC_047171.1",24,3.88349514563107,6,0.970873786407767,398,2.58844953173777,414,2.69250780437045
"23","NC_047172.1",38,2.52324037184595,63,4.18326693227092,398,2.58844953173777,414,2.69250780437045
"24","NC_047173.1",13,3.72492836676218,9,2.57879656160458,398,2.58844953173777,414,2.69250780437045
"25","NC_047174.1",7,2.33333333333333,15,5,398,2.58844953173777,414,2.69250780437045
"26","NW_022986819.1",2,1.22699386503067,3,1.84049079754601,398,2.58844953173777,414,2.69250780437045
"27","NW_022986821.1",1,7.69230769230769,0,0,398,2.58844953173777,414,2.69250780437045
"28","NW_022986827.1",34,3.26295585412668,8,0.767754318618042,398,2.58844953173777,414,2.69250780437045
"29","NW_022986833.1",33,3.92390011890606,10,1.18906064209275,398,2.58844953173777,414,2.69250780437045
"30","NW_022986835.1",2,11.7647058823529,0,0,398,2.58844953173777,414,2.69250780437045
"31","NW_022986840.1",1,1.20481927710843,5,6.02409638554217,398,2.58844953173777,414,2.69250780437045
"32","NW_022986841.1",1,0.757575757575758,1,0.757575757575758,398,2.58844953173777,414,2.69250780437045
"33","NW_022986847.1",0,0,1,1.13636363636364,398,2.58844953173777,414,2.69250780437045
"34","NW_022986849.1",0,0,1,33.3333333333333,398,2.58844953173777,414,2.69250780437045
