"","diffMeth.per.chr.chr","diffMeth.per.chr.number.of.hypermethylated","diffMeth.per.chr.percentage.of.hypermethylated","diffMeth.per.chr.number.of.hypomethylated","diffMeth.per.chr.percentage.of.hypomethylated","diffMeth.all.number.of.hypermethylated","diffMeth.all.percentage.of.hypermethylated","diffMeth.all.number.of.hypomethylated","diffMeth.all.percentage.of.hypomethylated"
"1","NC_047151.1",3,0.381679389312977,31,3.9440203562341,152,1.06554504030845,351,2.46056782334385
"2","NC_047152.1",1,0.357142857142857,9,3.21428571428571,152,1.06554504030845,351,2.46056782334385
"3","NC_047153.1",1,0.26246719160105,10,2.6246719160105,152,1.06554504030845,351,2.46056782334385
"4","NC_047154.1",0,0,4,2.77777777777778,152,1.06554504030845,351,2.46056782334385
"5","NC_047155.1",2,0.641025641025641,10,3.20512820512821,152,1.06554504030845,351,2.46056782334385
"6","NC_047156.1",2,1.43884892086331,18,12.9496402877698,152,1.06554504030845,351,2.46056782334385
"7","NC_047157.1",2,0.757575757575758,2,0.757575757575758,152,1.06554504030845,351,2.46056782334385
"8","NC_047158.1",18,1.95227765726681,15,1.62689804772234,152,1.06554504030845,351,2.46056782334385
"9","NC_047159.1",4,1.25,15,4.6875,152,1.06554504030845,351,2.46056782334385
"10","NC_047160.1",4,2.45398773006135,3,1.84049079754601,152,1.06554504030845,351,2.46056782334385
"11","NC_047161.1",5,1.65562913907285,10,3.3112582781457,152,1.06554504030845,351,2.46056782334385
"12","NC_047162.1",2,0.628930817610063,6,1.88679245283019,152,1.06554504030845,351,2.46056782334385
"13","NC_047163.1",14,0.92531394580304,34,2.24719101123596,152,1.06554504030845,351,2.46056782334385
"14","NC_047164.1",5,2.56410256410256,6,3.07692307692308,152,1.06554504030845,351,2.46056782334385
"15","NC_047165.1",14,1.41129032258065,8,0.806451612903226,152,1.06554504030845,351,2.46056782334385
"16","NC_047166.1",3,0.884955752212389,9,2.65486725663717,152,1.06554504030845,351,2.46056782334385
"17","NC_047167.1",3,0.36101083032491,14,1.68471720818291,152,1.06554504030845,351,2.46056782334385
"18","NC_047168.1",1,0.454545454545455,6,2.72727272727273,152,1.06554504030845,351,2.46056782334385
"19","NC_047169.1",0,0,10,2.14592274678112,152,1.06554504030845,351,2.46056782334385
"20","NC_047170.1",2,4.25531914893617,3,6.38297872340426,152,1.06554504030845,351,2.46056782334385
"21","NC_047171.1",20,3.40715502555366,14,2.38500851788756,152,1.06554504030845,351,2.46056782334385
"22","NC_047172.1",15,1.09970674486804,36,2.63929618768328,152,1.06554504030845,351,2.46056782334385
"23","NC_047173.1",5,1.89393939393939,9,3.40909090909091,152,1.06554504030845,351,2.46056782334385
"24","NC_047174.1",1,0.403225806451613,29,11.6935483870968,152,1.06554504030845,351,2.46056782334385
"25","NW_022986819.1",0,0,26,16.25,152,1.06554504030845,351,2.46056782334385
"26","NW_022986827.1",2,0.1953125,4,0.390625,152,1.06554504030845,351,2.46056782334385
"27","NW_022986833.1",23,2.68065268065268,8,0.932400932400932,152,1.06554504030845,351,2.46056782334385
"28","NW_022986841.1",0,0,1,0.769230769230769,152,1.06554504030845,351,2.46056782334385
"29","NW_022986850.1",0,0,1,10,152,1.06554504030845,351,2.46056782334385
