"","diffMeth.per.chr.chr","diffMeth.per.chr.number.of.hypermethylated","diffMeth.per.chr.percentage.of.hypermethylated","diffMeth.per.chr.number.of.hypomethylated","diffMeth.per.chr.percentage.of.hypomethylated","diffMeth.all.number.of.hypermethylated","diffMeth.all.percentage.of.hypermethylated","diffMeth.all.number.of.hypomethylated","diffMeth.all.percentage.of.hypomethylated"
"1","NC_009709.1",0,0,232,43.1226765799257,583,3.91459074733096,5031,33.7809709259384
"2","NC_047151.1",13,1.52761457109283,281,33.0199764982374,583,3.91459074733096,5031,33.7809709259384
"3","NC_047152.1",4,1.3745704467354,45,15.4639175257732,583,3.91459074733096,5031,33.7809709259384
"4","NC_047153.1",8,2,50,12.5,583,3.91459074733096,5031,33.7809709259384
"5","NC_047154.1",3,1.84049079754601,84,51.5337423312883,583,3.91459074733096,5031,33.7809709259384
"6","NC_047155.1",30,5.74712643678161,117,22.4137931034483,583,3.91459074733096,5031,33.7809709259384
"7","NC_047156.1",13,7.10382513661202,56,30.6010928961749,583,3.91459074733096,5031,33.7809709259384
"8","NC_047157.1",13,3.73563218390805,68,19.5402298850575,583,3.91459074733096,5031,33.7809709259384
"9","NC_047158.1",50,4.99001996007984,418,41.7165668662675,583,3.91459074733096,5031,33.7809709259384
"10","NC_047159.1",8,2.20385674931129,94,25.8953168044077,583,3.91459074733096,5031,33.7809709259384
"11","NC_047160.1",7,2.78884462151394,107,42.6294820717131,583,3.91459074733096,5031,33.7809709259384
"12","NC_047161.1",19,5.57184750733138,107,31.3782991202346,583,3.91459074733096,5031,33.7809709259384
"13","NC_047162.1",29,8.68263473053892,74,22.1556886227545,583,3.91459074733096,5031,33.7809709259384
"14","NC_047163.1",61,3.82445141065831,656,41.128526645768,583,3.91459074733096,5031,33.7809709259384
"15","NC_047164.1",23,7.39549839228296,80,25.7234726688103,583,3.91459074733096,5031,33.7809709259384
"16","NC_047165.1",37,3.93617021276596,156,16.5957446808511,583,3.91459074733096,5031,33.7809709259384
"17","NC_047166.1",20,5.30503978779841,203,53.8461538461538,583,3.91459074733096,5031,33.7809709259384
"18","NC_047167.1",15,1.80072028811525,600,72.0288115246098,583,3.91459074733096,5031,33.7809709259384
"19","NC_047168.1",13,5.26315789473684,125,50.6072874493927,583,3.91459074733096,5031,33.7809709259384
"20","NC_047169.1",4,0.892857142857143,352,78.5714285714286,583,3.91459074733096,5031,33.7809709259384
"21","NC_047170.1",1,1.85185185185185,36,66.6666666666667,583,3.91459074733096,5031,33.7809709259384
"22","NC_047171.1",36,5.04201680672269,145,20.3081232492997,583,3.91459074733096,5031,33.7809709259384
"23","NC_047172.1",47,3.28441649196366,552,38.5744234800839,583,3.91459074733096,5031,33.7809709259384
"24","NC_047173.1",6,2.4390243902439,49,19.9186991869919,583,3.91459074733096,5031,33.7809709259384
"25","NC_047174.1",3,1.15384615384615,58,22.3076923076923,583,3.91459074733096,5031,33.7809709259384
"26","NW_022986819.1",1,0.62111801242236,78,48.4472049689441,583,3.91459074733096,5031,33.7809709259384
"27","NW_022986821.1",1,6.25,1,6.25,583,3.91459074733096,5031,33.7809709259384
"28","NW_022986822.1",1,11.1111111111111,0,0,583,3.91459074733096,5031,33.7809709259384
"29","NW_022986827.1",84,10.6598984771574,80,10.1522842639594,583,3.91459074733096,5031,33.7809709259384
"30","NW_022986832.1",1,50,1,50,583,3.91459074733096,5031,33.7809709259384
"31","NW_022986833.1",12,2.14285714285714,66,11.7857142857143,583,3.91459074733096,5031,33.7809709259384
"32","NW_022986835.1",6,20.6896551724138,11,37.9310344827586,583,3.91459074733096,5031,33.7809709259384
"33","NW_022986836.1",1,100,0,0,583,3.91459074733096,5031,33.7809709259384
"34","NW_022986840.1",2,4.76190476190476,10,23.8095238095238,583,3.91459074733096,5031,33.7809709259384
"35","NW_022986841.1",3,2.25563909774436,27,20.3007518796992,583,3.91459074733096,5031,33.7809709259384
"36","NW_022986847.1",8,9.09090909090909,12,13.6363636363636,583,3.91459074733096,5031,33.7809709259384
