"","diffMeth.per.chr.chr","diffMeth.per.chr.number.of.hypermethylated","diffMeth.per.chr.percentage.of.hypermethylated","diffMeth.per.chr.number.of.hypomethylated","diffMeth.per.chr.percentage.of.hypomethylated","diffMeth.all.number.of.hypermethylated","diffMeth.all.percentage.of.hypermethylated","diffMeth.all.number.of.hypomethylated","diffMeth.all.percentage.of.hypomethylated"
"1","NC_009709.1",0,0,71,13.1970260223048,166,1.22871946706144,5371,39.7557364914878
"2","NC_047151.1",8,1.01010101010101,383,48.3585858585859,166,1.22871946706144,5371,39.7557364914878
"3","NC_047152.1",1,0.378787878787879,123,46.5909090909091,166,1.22871946706144,5371,39.7557364914878
"4","NC_047153.1",3,0.806451612903226,207,55.6451612903226,166,1.22871946706144,5371,39.7557364914878
"5","NC_047154.1",3,2.18978102189781,75,54.7445255474453,166,1.22871946706144,5371,39.7557364914878
"6","NC_047155.1",5,1.54798761609907,130,40.2476780185759,166,1.22871946706144,5371,39.7557364914878
"7","NC_047156.1",2,1.44927536231884,55,39.8550724637681,166,1.22871946706144,5371,39.7557364914878
"8","NC_047157.1",2,0.75187969924812,31,11.6541353383459,166,1.22871946706144,5371,39.7557364914878
"9","NC_047158.1",8,0.90702947845805,372,42.1768707482993,166,1.22871946706144,5371,39.7557364914878
"10","NC_047159.1",4,1.22324159021407,194,59.3272171253823,166,1.22871946706144,5371,39.7557364914878
"11","NC_047160.1",9,4.63917525773196,57,29.3814432989691,166,1.22871946706144,5371,39.7557364914878
"12","NC_047161.1",1,0.348432055749129,54,18.815331010453,166,1.22871946706144,5371,39.7557364914878
"13","NC_047162.1",4,1.36518771331058,69,23.5494880546075,166,1.22871946706144,5371,39.7557364914878
"14","NC_047163.1",13,0.894085281980743,559,38.4456671251719,166,1.22871946706144,5371,39.7557364914878
"15","NC_047164.1",11,4.47154471544715,45,18.2926829268293,166,1.22871946706144,5371,39.7557364914878
"16","NC_047165.1",6,0.676437429537768,132,14.8816234498309,166,1.22871946706144,5371,39.7557364914878
"17","NC_047166.1",4,1.17302052785924,186,54.5454545454545,166,1.22871946706144,5371,39.7557364914878
"18","NC_047167.1",4,0.518806744487678,581,75.3566796368353,166,1.22871946706144,5371,39.7557364914878
"19","NC_047168.1",0,0,147,66.8181818181818,166,1.22871946706144,5371,39.7557364914878
"20","NC_047169.1",0,0,392,91.588785046729,166,1.22871946706144,5371,39.7557364914878
"21","NC_047170.1",0,0,26,63.4146341463415,166,1.22871946706144,5371,39.7557364914878
"22","NC_047171.1",24,4.07470288624788,79,13.4125636672326,166,1.22871946706144,5371,39.7557364914878
"23","NC_047172.1",17,1.22655122655123,664,47.9076479076479,166,1.22871946706144,5371,39.7557364914878
"24","NC_047173.1",12,4.10958904109589,30,10.2739726027397,166,1.22871946706144,5371,39.7557364914878
"25","NC_047174.1",1,0.409836065573771,130,53.2786885245902,166,1.22871946706144,5371,39.7557364914878
"26","NW_022986819.1",0,0,100,62.5,166,1.22871946706144,5371,39.7557364914878
"27","NW_022986821.1",0,0,7,58.3333333333333,166,1.22871946706144,5371,39.7557364914878
"28","NW_022986822.1",0,0,1,20,166,1.22871946706144,5371,39.7557364914878
"29","NW_022986827.1",3,0.443786982248521,376,55.6213017751479,166,1.22871946706144,5371,39.7557364914878
"30","NW_022986829.1",0,0,1,100,166,1.22871946706144,5371,39.7557364914878
"31","NW_022986833.1",17,2.61538461538462,46,7.07692307692308,166,1.22871946706144,5371,39.7557364914878
"32","NW_022986835.1",3,18.75,4,25,166,1.22871946706144,5371,39.7557364914878
"33","NW_022986840.1",0,0,14,27.4509803921569,166,1.22871946706144,5371,39.7557364914878
"34","NW_022986841.1",1,0.769230769230769,10,7.69230769230769,166,1.22871946706144,5371,39.7557364914878
"35","NW_022986847.1",0,0,14,16.0919540229885,166,1.22871946706144,5371,39.7557364914878
"36","NW_022986849.1",0,0,2,100,166,1.22871946706144,5371,39.7557364914878
"37","NW_022986850.1",0,0,4,57.1428571428571,166,1.22871946706144,5371,39.7557364914878
