"","diffMeth.per.chr.chr","diffMeth.per.chr.number.of.hypermethylated","diffMeth.per.chr.percentage.of.hypermethylated","diffMeth.per.chr.number.of.hypomethylated","diffMeth.per.chr.percentage.of.hypomethylated","diffMeth.all.number.of.hypermethylated","diffMeth.all.percentage.of.hypermethylated","diffMeth.all.number.of.hypomethylated","diffMeth.all.percentage.of.hypomethylated"
"1","NC_009709.1",0,0,164,30.6542056074766,208,1.5571193292409,2169,16.2374606977092
"2","NC_047151.1",10,1.33511348464619,107,14.2857142857143,208,1.5571193292409,2169,16.2374606977092
"3","NC_047152.1",4,1.41342756183746,9,3.18021201413428,208,1.5571193292409,2169,16.2374606977092
"4","NC_047153.1",2,0.522193211488251,21,5.48302872062663,208,1.5571193292409,2169,16.2374606977092
"5","NC_047154.1",4,2.7027027027027,26,17.5675675675676,208,1.5571193292409,2169,16.2374606977092
"6","NC_047155.1",4,1.26984126984127,25,7.93650793650794,208,1.5571193292409,2169,16.2374606977092
"7","NC_047156.1",3,2.18978102189781,13,9.48905109489051,208,1.5571193292409,2169,16.2374606977092
"8","NC_047157.1",7,2.66159695817491,9,3.42205323193916,208,1.5571193292409,2169,16.2374606977092
"9","NC_047158.1",1,0.1230012300123,206,25.3382533825338,208,1.5571193292409,2169,16.2374606977092
"10","NC_047159.1",1,0.3003003003003,37,11.1111111111111,208,1.5571193292409,2169,16.2374606977092
"11","NC_047160.1",3,1.53846153846154,29,14.8717948717949,208,1.5571193292409,2169,16.2374606977092
"12","NC_047161.1",1,0.328947368421053,18,5.92105263157895,208,1.5571193292409,2169,16.2374606977092
"13","NC_047162.1",4,1.26582278481013,19,6.0126582278481,208,1.5571193292409,2169,16.2374606977092
"14","NC_047163.1",9,0.594844679444812,284,18.7706543291474,208,1.5571193292409,2169,16.2374606977092
"15","NC_047164.1",4,2.54777070063694,19,12.1019108280255,208,1.5571193292409,2169,16.2374606977092
"16","NC_047165.1",5,0.593119810201661,92,10.9134045077106,208,1.5571193292409,2169,16.2374606977092
"17","NC_047166.1",3,0.909090909090909,77,23.3333333333333,208,1.5571193292409,2169,16.2374606977092
"18","NC_047167.1",1,0.127388535031847,347,44.203821656051,208,1.5571193292409,2169,16.2374606977092
"19","NC_047168.1",4,1.92307692307692,69,33.1730769230769,208,1.5571193292409,2169,16.2374606977092
"20","NC_047169.1",3,0.636942675159236,147,31.2101910828025,208,1.5571193292409,2169,16.2374606977092
"21","NC_047170.1",2,4.65116279069767,5,11.6279069767442,208,1.5571193292409,2169,16.2374606977092
"22","NC_047171.1",9,1.63636363636364,49,8.90909090909091,208,1.5571193292409,2169,16.2374606977092
"23","NC_047172.1",11,0.900900900900901,246,20.1474201474201,208,1.5571193292409,2169,16.2374606977092
"24","NC_047173.1",2,0.966183574879227,7,3.38164251207729,208,1.5571193292409,2169,16.2374606977092
"25","NC_047174.1",7,2.88065843621399,10,4.11522633744856,208,1.5571193292409,2169,16.2374606977092
"26","NW_022986819.1",1,0.62111801242236,28,17.3913043478261,208,1.5571193292409,2169,16.2374606977092
"27","NW_022986821.1",0,0,2,20,208,1.5571193292409,2169,16.2374606977092
"28","NW_022986827.1",100,9.92063492063492,24,2.38095238095238,208,1.5571193292409,2169,16.2374606977092
"29","NW_022986833.1",3,0.531914893617021,72,12.7659574468085,208,1.5571193292409,2169,16.2374606977092
"30","NW_022986840.1",0,0,1,2.85714285714286,208,1.5571193292409,2169,16.2374606977092
"31","NW_022986841.1",0,0,2,1.52671755725191,208,1.5571193292409,2169,16.2374606977092
"32","NW_022986847.1",0,0,5,5.74712643678161,208,1.5571193292409,2169,16.2374606977092
