"","diffMeth.per.chr.chr","diffMeth.per.chr.number.of.hypermethylated","diffMeth.per.chr.percentage.of.hypermethylated","diffMeth.per.chr.number.of.hypomethylated","diffMeth.per.chr.percentage.of.hypomethylated","diffMeth.all.number.of.hypermethylated","diffMeth.all.percentage.of.hypermethylated","diffMeth.all.number.of.hypomethylated","diffMeth.all.percentage.of.hypomethylated"
"1","NC_009709.1",0,0,10,1.86219739292365,141,0.974901472723501,441,3.0491599253267
"2","NC_047151.1",12,1.43712574850299,17,2.03592814371257,141,0.974901472723501,441,3.0491599253267
"3","NC_047152.1",3,1.171875,5,1.953125,141,0.974901472723501,441,3.0491599253267
"4","NC_047153.1",0,0,10,2.5062656641604,141,0.974901472723501,441,3.0491599253267
"5","NC_047154.1",1,0.657894736842105,5,3.28947368421053,141,0.974901472723501,441,3.0491599253267
"6","NC_047155.1",5,1.38504155124654,18,4.98614958448753,141,0.974901472723501,441,3.0491599253267
"7","NC_047156.1",5,3.14465408805031,2,1.25786163522013,141,0.974901472723501,441,3.0491599253267
"8","NC_047157.1",2,0.664451827242525,8,2.6578073089701,141,0.974901472723501,441,3.0491599253267
"9","NC_047158.1",8,0.83594566353187,29,3.03030303030303,141,0.974901472723501,441,3.0491599253267
"10","NC_047159.1",4,1.20481927710843,7,2.10843373493976,141,0.974901472723501,441,3.0491599253267
"11","NC_047160.1",4,1.76211453744493,14,6.16740088105727,141,0.974901472723501,441,3.0491599253267
"12","NC_047161.1",0,0,17,5.18292682926829,141,0.974901472723501,441,3.0491599253267
"13","NC_047162.1",7,2.19435736677116,11,3.44827586206897,141,0.974901472723501,441,3.0491599253267
"14","NC_047163.1",11,0.708762886597938,63,4.05927835051546,141,0.974901472723501,441,3.0491599253267
"15","NC_047164.1",4,0.995024875621891,16,3.98009950248756,141,0.974901472723501,441,3.0491599253267
"16","NC_047165.1",5,0.498504486540379,23,2.29312063808574,141,0.974901472723501,441,3.0491599253267
"17","NC_047166.1",5,1.34408602150538,21,5.64516129032258,141,0.974901472723501,441,3.0491599253267
"18","NC_047167.1",8,1,6,0.75,141,0.974901472723501,441,3.0491599253267
"19","NC_047168.1",0,0,10,4.36681222707424,141,0.974901472723501,441,3.0491599253267
"20","NC_047169.1",5,1.21654501216545,5,1.21654501216545,141,0.974901472723501,441,3.0491599253267
"21","NC_047170.1",0,0,1,2.12765957446809,141,0.974901472723501,441,3.0491599253267
"22","NC_047171.1",15,2.25903614457831,31,4.66867469879518,141,0.974901472723501,441,3.0491599253267
"23","NC_047172.1",14,0.955631399317406,51,3.48122866894198,141,0.974901472723501,441,3.0491599253267
"24","NC_047173.1",5,1.54798761609907,15,4.64396284829721,141,0.974901472723501,441,3.0491599253267
"25","NC_047174.1",2,0.711743772241993,8,2.84697508896797,141,0.974901472723501,441,3.0491599253267
"26","NW_022986819.1",3,1.82926829268293,0,0,141,0.974901472723501,441,3.0491599253267
"27","NW_022986821.1",1,7.69230769230769,0,0,141,0.974901472723501,441,3.0491599253267
"28","NW_022986827.1",1,0.242130750605327,7,1.69491525423729,141,0.974901472723501,441,3.0491599253267
"29","NW_022986833.1",7,0.8274231678487,23,2.71867612293144,141,0.974901472723501,441,3.0491599253267
"30","NW_022986835.1",1,14.2857142857143,0,0,141,0.974901472723501,441,3.0491599253267
"31","NW_022986840.1",3,4.6875,1,1.5625,141,0.974901472723501,441,3.0491599253267
"32","NW_022986841.1",0,0,3,2.27272727272727,141,0.974901472723501,441,3.0491599253267
"33","NW_022986847.1",0,0,1,1.13636363636364,141,0.974901472723501,441,3.0491599253267
"34","NW_022986850.1",0,0,3,25,141,0.974901472723501,441,3.0491599253267
