indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType
Age4_HIP_5533,1,60,Test,4,5.22321471564363,Combined,Elastic Net
Age4_HIP_5490,2,83,Test,4,5.26071892544744,Combined,Elastic Net
Age6_HYP_731,1,108,Test,6,7.83664652525128,Combined,Elastic Net
Age6_HYP_540,2,103,Test,6,8.98112823355836,Combined,Elastic Net
Age8_HYP_639,1,100,Test,8,8.10989988749231,Combined,Elastic Net
Age8_HYP_250,2,125,Test,8,8.20431317125375,Combined,Elastic Net
Age10_HYP_544,1,118,Test,10,8.89770477764561,Combined,Elastic Net
Age10_HYP_526,2,122,Test,10,8.93868988710082,Combined,Elastic Net
Age12_HYP_165,1,111,Test,12,8.44545586537397,Combined,Elastic Net
Age12_HYP_517,2,128,Test,12,10.7278397326216,Combined,Elastic Net
Age15_HYP_157,1,110,Test,15,11.936618238309,Combined,Elastic Net
Age15_HYP_550,2,136,Test,15,10.9720513196932,Combined,Elastic Net
Age16_HYP_205,1,94,Test,16,14.409283783143,Combined,Elastic Net
Age16_HIP_1810,2,175,Test,16,13.5560526932202,Combined,Elastic Net
Age17_HYP_156,1,114,Test,17,14.2507387344254,Combined,Elastic Net
Age17_HIP_3150,2,136,Test,17,8.06933080032358,Combined,Elastic Net
Age18_HIP_3058,1,127,Test,18,13.4708132317161,Combined,Elastic Net
Age18_HYP_551,2,173,Test,18,14.8590104054961,Combined,Elastic Net
Age19_HIP_1300,1,132,Test,19,12.8078119802163,Combined,Elastic Net
Age19_LLNS18_3608,2,198,Test,19,9.46919290093261,Combined,Elastic Net
Age20_HIP_5369,2,193,Test,20,17.5179196110131,Combined,Elastic Net
Age21_HIP_4234,1,110,Test,21,8.85565266917369,Combined,Elastic Net
Age23_HIP_2753,1,126,Test,23,14.8306952554743,Combined,Elastic Net
Age23_HIP_1716,2,180,Test,23,10.1378661510756,Combined,Elastic Net
Age4_HIP_5463,1,51,Test,4,4.88576202543607,Combined,GLM
Age4_HIP_5490,2,83,Test,4,3.5691990174283,Combined,GLM
Age4_HIP_5498,2,78,Test,4,4.23628533940499,Combined,GLM
Age4_HIP_5513,2,49,Test,4,4.36348575330954,Combined,GLM
Age4_HIP_5517,1,38,Test,4,6.7492141718155,Combined,GLM
Age4_HIP_5520,2,65,Test,4,4.67219317979806,Combined,GLM
Age4_HIP_5525,1,34,Test,4,7.37420000626106,Combined,GLM
Age4_HIP_5530,1,38,Test,4,5.7974552988966,Combined,GLM
Age4_HIP_5533,1,60,Test,4,5.03033961812984,Combined,GLM
Age4_HIP_91,1,44,Test,4,4.71927162370388,Combined,GLM
Age4_HIP_93,2,45,Test,4,7.17417675098427,Combined,GLM
Age6_HYP_132,2,108,Test,6,8.2791336340261,Combined,GLM
Age6_HYP_163,1,83,Test,6,8.55821126360942,Combined,GLM
Age6_HYP_177,2,90,Test,6,8.02533087175428,Combined,GLM
Age6_HYP_187,1,92,Test,6,6.43408667565762,Combined,GLM
Age6_HYP_251,1,114,Test,6,10.2040784881558,Combined,GLM
Age6_HYP_265,1,105,Test,6,9.33181523074365,Combined,GLM
Age6_HYP_488,2,84,Test,6,8.68894552422853,Combined,GLM
Age6_HYP_540,2,103,Test,6,6.66628645124574,Combined,GLM
Age6_HYP_599,1,100,Test,6,9.42206338216453,Combined,GLM
Age6_HYP_731,1,108,Test,6,7.66503330167316,Combined,GLM
Age6_HYP_91,2,105,Test,6,7.12758377246439,Combined,GLM
