indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType,se.fit,lower,upper,DataType,LogAge,LogLen
Age16_HIP_1810,2,175,Train,16,15.3892982532915,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age16_HYP_89,2,170,Train,16,12.2213421363392,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age16_HYP_205,1,94,Train,16,15.7597522594541,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age16_HYP_242,1,118,Train,16,17.3609573986122,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age16_HIP_3157,2,175,Train,16,18.9663165153515,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age16_HIP_1758,1,131,Train,16,15.5628327898791,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age16_HIP_1401,1,98,Train,16,12.0388516882499,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age16_HIP_1414,2,180,Train,16,19.2966139900208,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age16_HIP_5348,2,161,Train,16,17.4552221316479,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age16_HIP_1985,2,191,Train,16,15.4992193101274,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age16_HIP_1717,1,95,Train,16,11.7773114312908,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age17_HYP_110,1,119,Train,17,17.5959638193466,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age17_HYP_162,1,118,Train,17,15.6763458420061,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age17_HIP_3148,2,162,Train,17,14.4357521485597,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age17_HIP_1753,2,209,Train,17,21.907545024987,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age17_HIP_3019,2,156,Train,17,14.4326300228363,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age18_HYP_551,2,173,Train,18,16.8413117666771,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age18_HYP_589,1,123,Train,18,15.8140518009564,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age18_HYP_772,1,120,Train,18,15.9276126977007,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age18_HIP_6325,1,82,Train,18,11.1321699161336,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age18_HIP_1724,2,125,Train,18,13.2840927206208,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age18_HIP_3058,1,127,Train,18,14.6288770548165,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age18_HIP_5336,2,194,Train,18,15.4816641489998,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age19_HIP_1300,1,132,Train,19,16.263590543373,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age19_LLNS18_3608,2,198,Train,19,13.1038551832897,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age21_HIP_4234,1,110,Train,21,12.8988226337558,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age4_HIP_5530,1,38,Test,4,6.84832242871584,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age4_HIP_5490,2,83,Test,4,5.42141004948148,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_265,1,105,Test,6,7.486694055018,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age6_HYP_177,2,90,Test,6,7.70016054374019,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_639,1,100,Test,8,8.16683180247108,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age8_HYP_90,2,99,Test,8,8.35613191208237,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_164,1,94,Test,10,8.64711214105063,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age10_HYP_494,2,143,Test,10,15.8045797161414,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age12_HYP_227,1,90,Test,12,8.80120385292514,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age12_HYP_236,2,130,Test,12,9.74238741424544,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age15_HYP_157,1,110,Test,15,11.6471197903092,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age15_HYP_232,2,100,Test,15,10.6108964165606,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age16_HYP_114,1,113,Test,16,14.0667934760461,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age16_HIP_1387,2,125,Test,16,22.3396037325362,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age17_HYP_156,1,114,Test,17,13.9227374398741,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age17_HIP_3150,2,136,Test,17,10.3727897300961,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age18_HYP_560,1,120,Test,18,17.1346909644881,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age18_HIP_3051,2,169,Test,18,14.9960146234488,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age19_HYP_108,1,123,Test,19,15.9816812766546,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age19_HIP_1454,2,179,Test,19,19.5963798888328,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age20_HIP_5369,2,193,Test,20,19.2553796155116,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age21_HIP_5056,1,98,Test,21,17.9393153663081,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age23_HIP_2753,1,126,Test,23,16.1686132564866,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age23_HIP_1716,2,180,Test,23,12.209841526781,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age29_HIP_6730,2,236,Test,29,29.0002670748253,Combined,Elastic Net,NA,NA,NA,NA,NA,NA
Age4_HIP_5463,1,51,Test,4,4.61491220674641,Combined,GAM,1.38271415709134,1.90479245884739,7.32503195464544,Wild,1.38629436111989,3.93182563272433
Age4_HIP_5490,2,83,Test,4,4.23499764948877,Combined,GAM,0.965871323284823,2.34188985585052,6.12810544312703,Wild,1.38629436111989,4.4188406077966
Age4_HIP_5498,2,78,Test,4,3.71845765406274,Combined,GAM,1.12500527818648,1.51344730881724,5.92346799930824,Wild,1.38629436111989,4.35670882668959
Age4_HIP_5513,2,49,Test,4,6.5394279977905,Combined,GAM,1.15401804678807,4.27755262608588,8.80130336949512,Wild,1.38629436111989,3.89182029811063
Age4_HIP_5517,1,38,Test,4,6.56630694533162,Combined,GAM,1.08851498023082,4.4328175840792,8.69979630658404,Wild,1.38629436111989,3.63758615972639
Age4_HIP_5520,2,65,Test,4,5.78164847105156,Combined,GAM,0.770232324502439,4.27199311502678,7.29130382707634,Wild,1.38629436111989,4.17438726989564
