indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType,testdf.Age,se.fit,lower,upper,DataType,LogAge,LogLen
Age4_HIP_5498,2,78,Test,4,2.47642162002589,Female-Only,GAM,4,0.831407912101174,0.846862112307591,4.10598112774419,Wild,1.38629436111989,4.35670882668959
Age4_HIP_5513,2,49,Test,4,5.63328308583959,Female-Only,GAM,4,0.949483455556448,3.77229551294895,7.49427065873023,Wild,1.38629436111989,3.89182029811063
Age4_HIP_5520,2,65,Test,4,5.28168873692868,Female-Only,GAM,4,1.08480375832078,3.15547337061995,7.40790410323742,Wild,1.38629436111989,4.17438726989564
Age4_HIP_93,2,45,Test,4,5.34369388422528,Female-Only,GAM,4,0.933252712825724,3.51451856708686,7.1728692013637,Wild,1.38629436111989,3.80666248977032
Age6_HYP_132,2,108,Test,6,5.95980098611997,Female-Only,GAM,6,0.764006458922444,4.46234832663198,7.45725364560796,Wild,1.79175946922805,4.68213122712422
Age6_HYP_177,2,90,Test,6,6.14724798123051,Female-Only,GAM,6,0.937981164614648,4.30880489858581,7.98569106387522,Wild,1.79175946922805,4.49980967033027
Age6_HYP_488,2,84,Test,6,5.67564175506262,Female-Only,GAM,6,0.696586456851866,4.31033229963296,7.04095121049228,Wild,1.79175946922805,4.43081679884331
Age6_HYP_540,2,103,Test,6,5.1301996050544,Female-Only,GAM,6,0.841898660623645,3.48007823023205,6.78032097987674,Wild,1.79175946922805,4.63472898822964
Age6_HYP_91,2,105,Test,6,5.08462968976197,Female-Only,GAM,6,0.774782851969552,3.56605529990165,6.60320407962229,Wild,1.79175946922805,4.65396035015752
Age8_HYP_250,2,125,Test,8,8.66522312989032,Female-Only,GAM,8,0.863112885098035,6.97352187509817,10.3569243846825,Wild,2.07944154167984,4.8283137373023
Age8_HYP_530,2,96,Test,8,11.8637649085634,Female-Only,GAM,8,0.855277699184968,10.1874206181608,13.5401091989659,Wild,2.07944154167984,4.56434819146784
Age8_HYP_593,2,107,Test,8,7.52343839182889,Female-Only,GAM,8,0.563842437368566,6.4183072145865,8.62856956907128,Wild,2.07944154167984,4.67282883446191
Age8_HYP_618,2,92,Test,8,8.24347135118951,Female-Only,GAM,8,0.894343721568596,6.49055765691506,9.99638504546395,Wild,2.07944154167984,4.52178857704904
Age8_HYP_90,2,99,Test,8,8.29296555358764,Female-Only,GAM,8,0.719244087598653,6.88324714189428,9.702683965281,Wild,2.07944154167984,4.59511985013459
Age10_HYP_10,2,111,Test,10,11.3116086014126,Female-Only,GAM,10,0.9839346378312,9.38309671126341,13.2401204915617,Wild,2.30258509299405,4.70953020131233
Age10_HYP_266,2,114,Test,10,10.977952794543,Female-Only,GAM,10,0.576622474937151,9.84777274366618,12.1081328454198,Wild,2.30258509299405,4.7361984483945
Age10_HYP_494,2,143,Test,10,10.9208827412112,Female-Only,GAM,10,1.32712886619763,8.31971016346388,13.5220553189586,Wild,2.30258509299405,4.96284463025991
Age10_HYP_526,2,122,Test,10,9.78332709333114,Female-Only,GAM,10,0.722634962298925,8.36696256722524,11.199691619437,Wild,2.30258509299405,4.80402104473326
Age10_HYP_531,2,154,Test,10,9.56872962210046,Female-Only,GAM,10,0.817376145976511,7.9666723759865,11.1707868682144,Wild,2.30258509299405,5.03695260241363
Age12_HYP_211,2,145,Test,12,14.2613705583437,Female-Only,GAM,12,1.03464148562769,12.2334732465134,16.2892678701739,Wild,2.484906649788,4.97673374242057
Age12_HYP_224,2,146,Test,12,12.4964603030474,Female-Only,GAM,12,0.756887562110376,11.0129606813111,13.9799599247838,Wild,2.484906649788,4.98360662170834
Age12_HYP_236,2,130,Test,12,12.1081700180136,Female-Only,GAM,12,0.807655989461669,10.5251642786688,13.6911757573585,Wild,2.484906649788,4.86753445045558
Age12_HYP_502,2,135,Test,12,12.9185147249799,Female-Only,GAM,12,0.789966801523478,11.3701797939938,14.4668496559659,Wild,2.484906649788,4.90527477843843
Age12_HYP_517,2,128,Test,12,12.4908799747956,Female-Only,GAM,12,0.689848553633619,11.1387768096737,13.8429831399175,Wild,2.484906649788,4.85203026391962
Age15_HYP_198,2,171,Test,15,15.2920980504397,Female-Only,GAM,15,0.529778329184081,14.2537325252389,16.3304635756405,Wild,2.70805020110221,5.14166355650266
Age15_HYP_232,2,100,Test,15,12.4907620573928,Female-Only,GAM,15,1.02624317386866,10.4793254366102,14.5021986781753,Wild,2.70805020110221,4.60517018598809
Age15_HYP_550,2,136,Test,15,13.7012402189149,Female-Only,GAM,15,0.659057549221755,12.4094874224402,14.9929930153895,Wild,2.70805020110221,4.91265488573605
Age15_HYP_590,2,161,Test,15,13.8038392237325,Female-Only,GAM,15,0.649624378684647,12.5305754415106,15.0771030059544,Wild,2.70805020110221,5.08140436498446
Age15_HYP_98,2,146,Test,15,13.272885474013,Female-Only,GAM,15,0.723715443475771,11.8544032048005,14.6913677432255,Wild,2.70805020110221,4.98360662170834
Age16_HIP_1743,2,126,Test,16,13.908663030562,Female-Only,GAM,16,0.639188642953994,12.6558532903722,15.1614727707518,Wild,2.77258872223978,4.83628190695148
Age16_HIP_1810,2,175,Test,16,16.6789679913808,Female-Only,GAM,16,0.669735068017044,15.3662872580674,17.9916487246942,Wild,2.77258872223978,5.16478597392351
Age16_HYP_89,2,170,Test,16,17.5450196017703,Female-Only,GAM,16,0.969919006525568,15.6439783489802,19.4460608545604,Wild,2.77258872223978,5.13579843705026
Age16_HIP_3157,2,175,Test,16,17.5673136950063,Female-Only,GAM,16,0.987496152113751,15.6318212368633,19.5028061531492,Wild,2.77258872223978,5.16478597392351
Age16_HIP_1387,2,125,Test,16,16.7599317685805,Female-Only,GAM,16,0.900336431063062,14.9952723636969,18.5245911734641,Wild,2.77258872223978,4.8283137373023
Age16_HIP_1414,2,180,Test,16,15.6275614792005,Female-Only,GAM,16,0.696003095560119,14.2633954119027,16.9917275464984,Wild,2.77258872223978,5.19295685089021
Age16_HIP_5348,2,161,Test,16,17.6315727579116,Female-Only,GAM,16,0.479926440841525,16.6909169338622,18.572228581961,Wild,2.77258872223978,5.08140436498446
Age16_HIP_1985,2,191,Test,16,16.7822822585038,Female-Only,GAM,16,0.643973484539511,15.5200942288064,18.0444702882013,Wild,2.77258872223978,5.25227342804663
Age17_HIP_3148,2,162,Test,17,15.8373976560685,Female-Only,GAM,17,0.854294224570463,14.1629809759104,17.5118143362266,Wild,2.83321334405622,5.08759633523238
Age17_HIP_3150,2,136,Test,17,16.7646528551553,Female-Only,GAM,17,0.84449725961249,15.1094382263148,18.4198674839957,Wild,2.83321334405622,4.91265488573605
Age17_HIP_1753,2,209,Test,17,16.8015085311792,Female-Only,GAM,17,0.801182688262061,15.2311904621855,18.3718266001728,Wild,2.83321334405622,5.34233425196481
Age17_HIP_3019,2,156,Test,17,16.7859675130498,Female-Only,GAM,17,0.999443685399468,14.8270578896669,18.7448771364328,Wild,2.83321334405622,5.04985600724954
Age18_HYP_551,2,173,Test,18,16.4297359621583,Female-Only,GAM,18,0.848708686110903,14.766266937381,18.0932049869357,Wild,2.89037175789616,5.15329159449778
Age18_HIP_1724,2,125,Test,18,16.1344585525271,Female-Only,GAM,18,0.924070400540835,14.3232805674671,17.9456365375871,Wild,2.89037175789616,4.8283137373023
Age18_HIP_3051,2,169,Test,18,17.8988912501724,Female-Only,GAM,18,0.662259309218134,16.6008630041049,19.19691949624,Wild,2.89037175789616,5.12989871492307
Age18_HIP_5336,2,194,Test,18,15.5888760417594,Female-Only,GAM,18,0.798508599393945,14.0237991869473,17.1539528965715,Wild,2.89037175789616,5.26785815906333
Age19_HIP_1454,2,179,Test,19,19.1050717494024,Female-Only,GAM,19,0.844411551890901,17.4500251076963,20.7601183911086,Wild,2.94443897916644,5.18738580584075
Age19_LLNS18_3608,2,198,Test,19,17.9063670549818,Female-Only,GAM,19,0.864270953117016,16.2123959868725,19.6003381230912,Wild,2.94443897916644,5.28826703069454
Age20_HIP_5369,2,193,Test,20,18.4714303053643,Female-Only,GAM,20,0.508996602946117,17.4737969635899,19.4690636471387,Wild,2.99573227355399,5.26269018890489
