indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType,se.fit,lower,upper,DataType,LogAge,LogLen
Age4_HIP_5517,1,38,Test,4,4.16877243219549,Male-Only,GAM,0.744844649332111,2.70887691950455,5.62866794488643,Wild,1.38629436111989,3.63758615972639
Age4_HIP_5525,1,34,Test,4,4.84780468509086,Male-Only,GAM,1.2081257455656,2.47987822378228,7.21573114639944,Wild,1.38629436111989,3.52636052461616
Age4_HIP_5530,1,38,Test,4,3.82910697508475,Male-Only,GAM,1.13834581833689,1.59794917114445,6.06026477902505,Wild,1.38629436111989,3.63758615972639
Age4_HIP_5533,1,60,Test,4,6.11613127754607,Male-Only,GAM,0.769362943136772,4.608179908998,7.62408264609415,Wild,1.38629436111989,4.0943445622221
Age4_HIP_91,1,44,Test,4,2.22822183718727,Male-Only,GAM,0.798153456429686,0.663841062585084,3.79260261178946,Wild,1.38629436111989,3.78418963391826
Age6_HYP_163,1,83,Test,6,6.29631493032901,Male-Only,GAM,0.590609341757716,5.13872062048389,7.45390924017414,Wild,1.79175946922805,4.4188406077966
Age6_HYP_187,1,92,Test,6,6.47342230380906,Male-Only,GAM,0.815823906036868,4.87440744797679,8.07243715964132,Wild,1.79175946922805,4.52178857704904
Age6_HYP_251,1,114,Test,6,9.05945522773532,Male-Only,GAM,0.791396053213239,7.50831896343737,10.6105914920333,Wild,1.79175946922805,4.7361984483945
Age6_HYP_265,1,105,Test,6,5.08834089322174,Male-Only,GAM,0.783549419140323,3.55258403170671,6.62409775473678,Wild,1.79175946922805,4.65396035015752
Age6_HYP_599,1,100,Test,6,6.29063051835945,Male-Only,GAM,0.809279331857629,4.7044430279185,7.8768180088004,Wild,1.79175946922805,4.60517018598809
Age6_HYP_731,1,108,Test,6,8.12531890608001,Male-Only,GAM,0.674906583002742,6.80250200339463,9.44813580876538,Wild,1.79175946922805,4.68213122712422
Age8_HYP_102,1,88,Test,8,6.86173266208712,Male-Only,GAM,0.651425355133403,5.58493896602565,8.1385263581486,Wild,2.07944154167984,4.47733681447821
Age8_HYP_197,1,113,Test,8,10.3888828339385,Male-Only,GAM,0.483833149744462,9.44056986043936,11.3371958074377,Wild,2.07944154167984,4.72738781871234
Age8_HYP_621,1,108,Test,8,9.41018022167239,Male-Only,GAM,0.602367347928931,8.22954021973168,10.5908202236131,Wild,2.07944154167984,4.68213122712422
Age8_HYP_639,1,100,Test,8,9.85075280693787,Male-Only,GAM,0.471878070811296,8.92587178814773,10.775633825728,Wild,2.07944154167984,4.60517018598809
Age8_HYP_732,1,112,Test,8,8.68154426114605,Male-Only,GAM,0.630462363617839,7.44583802845508,9.91725049383701,Wild,2.07944154167984,4.71849887129509
Age8_HYP_735,1,120,Test,8,10.1843870206732,Male-Only,GAM,0.65023173849758,8.90993281321791,11.4588412281284,Wild,2.07944154167984,4.78749174278205
Age10_HYP_164,1,94,Test,10,7.80344805654882,Male-Only,GAM,0.546067094419515,6.73315655148657,8.87373956161107,Wild,2.30258509299405,4.54329478227
Age10_HYP_47,1,98,Test,10,9.00491755728005,Male-Only,GAM,0.572526905834469,7.88276482184449,10.1270702927156,Wild,2.30258509299405,4.58496747867057
Age10_HYP_52,1,94,Test,10,10.1474023257003,Male-Only,GAM,0.723706934913227,8.72893673327038,11.5658679181302,Wild,2.30258509299405,4.54329478227
Age10_HYP_544,1,118,Test,10,10.4879240324287,Male-Only,GAM,0.66700161934634,9.18060085850986,11.7952472063475,Wild,2.30258509299405,4.77068462446567
Age10_HYP_568,1,83,Test,10,12.6674325093532,Male-Only,GAM,0.644246631079368,11.4047091124377,13.9301559062688,Wild,2.30258509299405,4.4188406077966
Age10_HYP_645,1,120,Test,10,7.33841771846207,Male-Only,GAM,0.715330020456194,5.93637087836793,8.74046455855621,Wild,2.30258509299405,4.78749174278205
Age12_HYP_135,1,112,Test,12,11.0345814134735,Male-Only,GAM,0.719134205846149,9.62507837001506,12.444084456932,Wild,2.484906649788,4.71849887129509
Age12_HYP_165,1,111,Test,12,11.1171910535707,Male-Only,GAM,0.685873893330628,9.77287822264269,12.4615038844988,Wild,2.484906649788,4.70953020131233
Age12_HYP_227,1,90,Test,12,11.1355377267268,Male-Only,GAM,0.827782104006478,9.51308480287409,12.7579906505795,Wild,2.484906649788,4.49980967033027
Age12_HYP_572,1,94,Test,12,11.1854864269225,Male-Only,GAM,1.13675114654149,8.95745417970122,13.4135186741439,Wild,2.484906649788,4.54329478227
Age12_HYP_603,1,121,Test,12,12.5567234317115,Male-Only,GAM,0.748602449253308,11.0894626311751,14.023984232248,Wild,2.484906649788,4.79579054559674
