"","diffMeth.per.chr.chr","diffMeth.per.chr.number.of.hypermethylated","diffMeth.per.chr.percentage.of.hypermethylated","diffMeth.per.chr.number.of.hypomethylated","diffMeth.per.chr.percentage.of.hypomethylated","diffMeth.all.number.of.hypermethylated","diffMeth.all.percentage.of.hypermethylated","diffMeth.all.number.of.hypomethylated","diffMeth.all.percentage.of.hypomethylated"
"1","NC_047151.1",0,0,1,0.117508813160987,0,0,7,0.0470019472235278
"2","NC_047152.1",0,0,1,0.343642611683849,0,0,7,0.0470019472235278
"3","NC_047156.1",0,0,1,0.546448087431694,0,0,7,0.0470019472235278
"4","NC_047167.1",0,0,1,0.120048019207683,0,0,7,0.0470019472235278
"5","NC_047169.1",0,0,1,0.223214285714286,0,0,7,0.0470019472235278
"6","NC_047171.1",0,0,1,0.140056022408964,0,0,7,0.0470019472235278
"7","NC_047172.1",0,0,1,0.0698812019566737,0,0,7,0.0470019472235278
