REGION0	1	1	20143	493
REGION0	3	32658347	32675020	483
REGION0	5	30739495	30755956	87
REGION0	9	29157690	29171055	318
REGION0	11	22173599	22189064	59
REGION0	13	21490116	21500116	9
REGION0	13	29061999	29075020	172
REGION0	14	24796420	24806420	4
REGION0	15	15406811	15417284	8
REGION0	15	903834	917025	665
REGION0	17	11010433	11020433	32
REGION0	18	475431	485431	16
REGION0	21	15403567	15414738	8
REGION0	21	25035373	25045623	9
REGION0	22	24799623	24900667	11
REGION0	22	26285161	26316377	72
REGION0	24	21418903	21440056	69
